empty;0;0;0;0;0
Kategoria Superiore;2;1;0;10;4
Primera Divisió;5;1;0;8;4
Premier League;10;1;0;10;4
Bundesliga;13;1;0;12;3
2. Liga;13;2;0;16;2
Premyer Liqasi;14;1;0;10;4
Vysejsaja Liha ;19;1;0;16;2
Eerste klasse A;20;1;0;18;2
Eerste klasse B;20;2;0;12;2
Liga 12;27;1;0;12;3
efbet League;32;1;0;16;2
Prva liga;52;1;0;10;4
First Division;55;1;0;14;3
1. ceska fotbalova liga;56;1;0;16;2
Superliga;57;1;0;12;3
Premier League;64;1;0;20;2
Championship;64;2;0;24;2
League One;64;3;0;24;2
League Two;64;4;0;24;2
National League;64;5;0;24;2
National League North;64;6;1;24;2
National League South;64;6;2;24;2
Meistriliiga;67;1;0;10;3
Formuladeildin;70;1;0;10;3
Veikkausliiga;72;1;0;12;3
Ligue 1;73;1;0;20;2
Ligue 2;73;2;0;20;2
Championnat National;73;3;0;18;2
Erovnuli Liga;77;1;0;10;4
Bundesliga;78;1;0;18;2
2. Bundesliga;78;2;0;18;2
3. Liga;78;3;0;20;2
National League;80;1;0;11;2
Souper Ligka Ellada;81;1;0;14;3
Nemzeti Bajnoksag I;92;1;0;12;3
Urvalsdeild;93;1;0;12;2
Ligat ha'Al;98;1;0;14;3
Serie A;99;1;0;20;2
Serie B;99;2;0;20;2
Prem'er Ligasy;103;1;0;14;2
Superliga;108;1;0;10;4
Virsliga;112;1;0;10;4
A Lyga;118;1;0;10;4
National Division;119;1;0;16;2
Premier League;126;1;0;14;2
Divizia Nationala;131;1;0;8;4
Prva liga;133;1;0;10;4
Eredivisie;140;1;0;18;2
Eerste Divisie;140;2;0;20;2
Prva liga;146;1;0;11;3
Premiership;147;1;0;12;3
Eliteserien;149;1;0;16;2
1. divisjon;149;2;0;16;2
Ekstraklasa;158;1;0;18;2
1. liga;158;2;0;18;2
2. liga;158;3;0;18;2
Primeira Liga;159;1;0;18;2
Segunda Liga;159;2;0;18;2
Premier Division;162;1;0;10;4
Liga I;164;1;0;16;2
Premier Liga;165;1;0;16;2
Pervaya liga;165;2;0;18;2
Campionato Sammarinese;172;1;0;15;2
Scottish Premiership;175;1;0;12;3
Scottish Championship;175;2;0;10;4
Scottish League One;175;3;0;10;4
Scottish League Two;175;4;0;10;4
Superliga;177;1;0;16;2
Superliga;182;1;0;12;2
Prva liga;183;1;0;10;4
Primera Division;188;1;0;20;2
Segunda Division;188;2;0;22;2
Allsvenskan;192;1;0;16;2
Superettan;192;2;0;16;2
Super League;193;1;0;10;4
Challenge League;193;2;0;10;4
Süper Lig;204;1;0;19;2
TFF 1. Lig;204;2;0;19;2
"Prem""jer-liha";209;1;0;16;2
Cymru Premier;218;1;0;12;2
Primera Division;9;1;0;28;1
Primera Division;25;1;0;16;2
Serie A;29;1;0;20;2
Serie B;29;1;0;20;2
Primera Division;42;1;0;16;2
Categoria Primera A;45;1;0;20;2
Serie A;61;1;0;16;2
Primera Division;155;1;0;12;4
Liga 1;156;1;0;19;2
Primera Division;212;1;0;16;2
Primera Division;216;1;1;16;4
Canadian Premier League;37;1;0;8;4
Primera Division - Gr A;50;1;1;6;4
Primera Division - Gr B;50;1;2;6;4
Liga Nacional;85;1;0;12;3
Championnat National;89;1;0;18;2
Liga Nacional;90;1;0;10;4
Liga MX;130;1;0;18;2
MLS;211;1;0;28;1
USL Championship;211;2;0;27;1
Ligue 1;3;1;0;16;2
Girabola;6;1;0;16;2
Elite One;36;1;0;22;2
Ligue 1;48;1;0;20;2
Ligue 1;51;1;0;16;2
Premier League;62;1;0;18;2
Ligue 1;86;1;0;14;2
First Division;115;1;0;14;2
Botola Pro;135;1;0;16;2
NPFL;145;1;0;20;2
Ligue 1;176;1;0;14;2
Premier League;186;1;0;16;2
Premier League;190;1;0;18;2
Ligi Kuu Bara;197;1;0;16;2
Ligue Professionnelle 1;203;1;0;16;2
Super League;220;1;0;18;2
A-League;12;1;0;12;3
Super League;43;1;0;18;2
Premier League;91;1;0;10;2
ISL;94;1;0;11;2
Persian Gulf Pro League;96;1;0;16;2
Super League;97;1;0;20;2
J1 League;101;1;0;18;2
J2 League;101;2;0;22;2
Premier League;102;1;0;12;3
K League 1;107;1;0;12;3
Super League;123;1;0;12;3
PFL;157;1;0;7;4
QSL;161;1;0;12;2
Saudi Professional League;174;1;0;16;2
Premier League;180;1;0;8;4
Vysshaya Liga;196;1;0;10;3
Thai League 1;198;1;0;16;2
Yokary Liga;205;1;0;8;2
UAE League;210;1;0;14;2
Superligasi;214;1;0;14;2
V. League 1;217;1;0;13;2
Premier League;71;1;0;10;2
Super Ligue;141;1;0;12;2
National League;142;1;0;10;2
Division 1;195;1;0;12;2
